ID урока,Дата старта урока,Роль пользователя,Текст сообщения,Дата сообщения,Разметка
307752,2024-03-13 09:51:49,user,https://diresnode.com/; 2024-03-13T10:12:22.638Z,2024-03-13 10:12:22,1
352174,2024-03-02 12:50:24,user,z dfc yt cksie,2024-03-02 13:02:49,0
352174,2024-03-02 12:50:24,user,gjxtve nj,2024-03-02 13:02:50,0
352174,2024-03-02 12:50:24,user,окей; 2024-03-02T13:03:16.429Z,2024-03-02 13:03:16,0
352174,2024-03-02 12:50:24,user,если не с хрома или яндекса сидишь то может помочь смена браузера,2024-03-02 13:05:17,1
352174,2024-03-02 12:50:24,user,у меня на удивление с duckduckgo всё работает,2024-03-02 13:06:04,1
352174,2024-03-02 12:50:24,user,браузер,2024-03-02 13:06:44,0
352174,2024-03-02 12:50:24,user,и поисковая система,2024-03-02 13:06:48,0
352174,2024-03-02 12:50:24,user,в торе он используется,2024-03-02 13:07:16,0
352174,2024-03-02 12:50:24,user,не надо меня спрашивать откуда я это знаю,2024-03-02 13:07:32,0
352174,2024-03-02 12:50:24,user,ну вооьще хотелось,2024-03-02 13:08:01,0
352174,2024-03-02 12:50:24,user,спросить,2024-03-02 13:08:07,0
352174,2024-03-02 12:50:24,user,"а нет, всё, уже сам сделал",2024-03-02 13:08:58,0
352174,2024-03-02 12:50:24,user,выдра,2024-03-02 13:12:20,0
352174,2024-03-02 12:50:24,user,я все таки пришел,2024-03-02 13:12:58,0
352174,2024-03-02 12:50:24,user,это выдрочка?,2024-03-02 13:13:02,0
352174,2024-03-02 12:50:24,user,я к тете пришел,2024-03-02 13:13:04,0
352174,2024-03-02 12:50:24,user,фласк,2024-03-02 13:14:38,0
352174,2024-03-02 12:50:24,user,катя,2024-03-02 13:14:49,0
352174,2024-03-02 12:50:24,user,пайгейм,2024-03-02 13:14:55,0
352174,2024-03-02 12:50:24,user,АААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА,2024-03-02 13:15:28,0
352174,2024-03-02 12:50:24,user,кто зашел +,2024-03-02 13:17:30,0
352174,2024-03-02 12:50:24,user,я зошол,2024-03-02 13:18:11,0
352174,2024-03-02 12:50:24,user,"ааа я не зашел,я думал что вы имели в виду про конференцию",2024-03-02 13:19:05,0
352174,2024-03-02 12:50:24,user,2 100%,2024-03-02 13:19:28,0
352174,2024-03-02 12:50:24,user,"я могу только посмотреть конференцию,работать не смогу",2024-03-02 13:19:41,0
352174,2024-03-02 12:50:24,user,он нарисован; 2024-03-02T13:20:35.527Z,2024-03-02 13:20:35,0
352174,2024-03-02 12:50:24,user,я уже шёл из кода строку воровать,2024-03-02 13:24:39,0
352174,2024-03-02 12:50:24,user,он есть,2024-03-02 13:24:59,0
352174,2024-03-02 12:50:24,user,но уже поздно,2024-03-02 13:25:08,0
352174,2024-03-02 12:50:24,user,молодцы,2024-03-02 13:25:22,0
352174,2024-03-02 12:50:24,user,@message,2024-03-02 13:25:24,1
352174,2024-03-02 12:50:24,user,@app.on_message(),2024-03-02 13:25:27,1
352174,2024-03-02 12:50:24,user,мне chatgpt4 в кодеиуме наконец-то дали,2024-03-02 13:28:21,0
352174,2024-03-02 12:50:24,user,бету,2024-03-02 13:28:30,0
352174,2024-03-02 12:50:24,user,"https://t.me/xczgfssdfasbot
мой бот (не эхо)",2024-03-02 13:38:48,1
352174,2024-03-02 12:50:24,user,там не только,2024-03-02 13:40:31,0
352174,2024-03-02 12:50:24,user,функция не работает,2024-03-02 13:47:28,0
352174,2024-03-02 12:50:24,user,а можно код для time  записать не успел,2024-03-02 13:54:00,1
352174,2024-03-02 12:50:24,user,я себе напортачил можете скинуть код пожалуйста,2024-03-02 13:58:10,1
352174,2024-03-02 12:50:24,user,"@app.on_message(filters=filters.command(""year""))
async def echo(client: Client, message: Message):
    await message.reply_text(f""{time.localtime().tm_year}"")",2024-03-02 13:58:40,1
352174,2024-03-02 12:50:24,user,а что неправильно просто не работает,2024-03-02 13:59:16,1
352174,2024-03-02 12:50:24,user,спасибоб ро),2024-03-02 13:59:17,1
352174,2024-03-02 12:50:24,user,бро*,2024-03-02 13:59:20,0
352174,2024-03-02 12:50:24,user,бот повторяет,2024-03-02 13:59:26,0
352174,2024-03-02 12:50:24,user,фулл скинешь?я вставлять нормально не могу,2024-03-02 13:59:42,1
352174,2024-03-02 12:50:24,user,кода,2024-03-02 13:59:58,0
352174,2024-03-02 12:50:24,user,"from pyrogram import Client, filters
from pyrogram. types import Message
import config
import time

app = Client(
    api_id=config.API_ID,
    api_hash=config.API_HASH,
    bot_token=config.BOT_TOKEN,
    name=""shycy_bot""
)

@app.on_message(filters=filters.command(""Салам""))
async def echo(client: Client, message: Message):
    await message.reply_text(""Салам бача"")

@app.on_message(filters=filters.command(""year""))
async def echo(client: Client, message: Message):
    await message.reply_text(f""{time.localtime().tm_year}"")

@app.on_message()
async def echo(client: Client, message: Message):
    await message.reply_text(message.text)

app.run()",2024-03-02 14:00:18,1
352174,2024-03-02 12:50:24,user,"import config
from pyrogram import Client, filters
from pyrogram.types import Message

app = Client(
    api_id=config.API_ID,
    api_hash=config.API_HASH,
    bot_token=config.BOT_TOKEN,
    name=""учебный бот1""
)

@app.on_message(filters=filters.command(""start""))
async def time_command(client: Client, message: Message):
 await message.reply(""приветик!"")

@app.on_message()
async def echo(client: Client, message: Message):
    await message.reply_text(message.text)

app.run()",2024-03-02 14:00:28,1
352174,2024-03-02 12:50:24,user,название поменяй только,2024-03-02 14:00:32,0
352174,2024-03-02 12:50:24,user,а когда перерыв?,2024-03-02 14:01:08,1
352174,2024-03-02 12:50:24,user,Никита а где у тебя код с time,2024-03-02 14:02:38,1
352174,2024-03-02 12:50:24,user,В ПРОЦЕССЕ,2024-03-02 14:03:02,0
352174,2024-03-02 12:50:24,user,сейчас делаю его,2024-03-02 14:03:16,0
